Image Filename,Word Count (GT),Character Count (GT),WER (%),CER (%)
0a6a53a8d37584a7906d2d5a0032f9c1.jpg,18,107,77.77777777777779,33.64485981308411
0a8f6461714ec9868dea0d37c5da5a81.jpg,29,172,62.06896551724138,33.72093023255814
0a9a0b211bee87b544bd97a8320a0b73.jpg,22,136,86.36363636363636,36.76470588235294
0a44a38a50b7d61facccae446cf30630.jpg,7,39,71.42857142857143,48.717948717948715
0a78f89fc2dc78b700b494c3510e8920.jpg,13,73,61.53846153846154,41.0958904109589
0a82c1dfd5b32349b8ce23bf6186553b.jpg,5,42,80.0,26.190476190476193
0a0514153dac092aac76b097b495f908.jpg,14,78,92.85714285714286,65.38461538461539
0ab24d35793497f6a72137191b91659e.jpg,11,68,100.0,91.17647058823529
0b98d840b298be76c1a982a8d1f4688f.jpg,16,87,75.0,54.02298850574713
0bb8bd42d6b58c7966ba67472a55f905.jpg,4,29,100.0,75.86206896551724
0bc884c23d4204aec7bbf35d5e8849f6.jpg,10,49,100.0,71.42857142857143
0be9284a6b11e3517504aa9a44f87a3a.jpg,7,44,28.57142857142857,4.545454545454546
0cf93861d70a35c3d8deaa265a630e35.jpg,15,77,100.0,100.0
0f76b00ea914ced1822d8ac3480c485f.jpg,27,162,100.0,100.0
1c41d9cb63d3627fc60a1f3ba42da963.jpg,19,99,88.88888888888889,85.85858585858585
1c8807c42be085f3b061fe63f62a3c39.jpg,17,92,100.0,100.0
1ce4c2573d65ebdc3c85d9a6592d57b1.jpg,11,54,100.0,87.03703703703704
01d245f56c1d9a397caa3d956573616e.jpg,5,22,100.0,100.0
1dae4577eb25fcec3f88e4cbb3fc726a.jpg,9,58,100.0,75.86206896551724
1e3e1572e17ade03b21c44617fbc4d68.jpg,24,136,100.0,100.0
1e12b33f2f3988b23f895d2319ef7af8.jpg,15,79,100.0,89.87341772151899
1ec952e4d14d37dc7b6d74fa07f1ea37.jpg,13,85,81.81818181818183,60.0
1ed2c2f8f406ed7ed90a58f73d4f1058.jpg,13,78,100.0,100.0
2a2d6ebcedeb7249a2a85fd1fbfd06e1.jpg,11,70,100.0,75.71428571428571
2a296946d7a2ed3829e57d6b155be43b.jpg,12,67,70.0,58.2089552238806
2b1bfecae9d512cb6ee943ccf786216f.jpg,13,75,100.0,68.0
2c6857eb1c10995c8b9e77a1804f68cd.jpg,16,90,91.66666666666666,75.55555555555556
2cd2b814b8a8cd3a49895cbd13a8b1f4.jpg,15,100,92.85714285714286,90.0
2e5841f29d7212ba8df7dc1323689318.jpg,4,21,100.0,100.0
--- AGGREGATE ---,395,2289,88.0,70.33639143730886
